Product,Revenue,Profit,Month,Region,Quantity
Headphones,22171230,5662637.9,Dec,West,430
Headphones,3921540,270312.38,Aug,North,420
Keyboard,363960,104577.63,Jan,East,108
Keyboard,7128264,2471631.53,Sep,West,268
Keyboard,1146941,279934.06,May,East,23
Laptop,19476352,2913222.21,Feb,East,448
Tablet,12288900,3354775.22,Jul,East,460
Headphones,11876445,2366465.01,Sep,East,259
Smartphone,10676640,786634.57,Oct,South,377
Webcam,3340250,269823.3,Jun,East,155
Keyboard,9318369,2472152.8,Mar,West,233
Mouse,763075,204537.92,Jun,West,233
Keyboard,17386840,5813660.53,Feb,West,332
Mouse,14151000,3891091.91,Mar,North,267
Headphones,17699163,4485439.79,Aug,North,439
Headphones,622674,176562.08,Jun,East,39
Tablet,18497934,1104615.18,Mar,West,491
Mouse,5770830,1609630.73,Oct,South,195
Webcam,5104320,736633.17,May,South,192
Smartphone,876834,92781.68,Sep,West,18
Webcam,1147575,324177.71,Dec,West,65
Monitor,6110370,1577662.05,Aug,South,318
Smartphone,4172860,301345.64,Mar,West,74
Smartphone,18934610,6442848.9,Jun,East,419
Smartphone,10304866,1412886.62,May,South,286
Headphones,9942090,2014533.12,Feb,South,411
Headphones,6589422,1306066.81,Jun,East,126
Printer,15247232,1355957.21,Feb,North,416
Keyboard,9876672,2623845.55,Sep,West,208
Tablet,16262976,1172970.62,Jun,North,426
Printer,10952253,2247489.97,Mar,South,243
Headphones,7560830,2443763.7,Jan,North,226
Webcam,1695773,168554.96,Jun,South,83
Mouse,16907940,5384803.11,Feb,East,490
Monitor,12077670,1598302.2,Nov,East,330
Speaker,1840916,369604.28,Mar,South,278
Headphones,14167350,3771204.5,Oct,East,342
Speaker,1419132,438702.46,Feb,North,26
Speaker,6044080,684446.81,Oct,West,140
Speaker,824688,164452.2,Nov,East,332
Keyboard,4170096,1215192.86,Nov,West,252
Keyboard,1251834,321200.66,Mar,West,237
Tablet,7796124,866982.81,Oct,South,252
Mouse,21219788,3093737.25,Jun,West,446
Headphones,9764502,1996782.46,Feb,East,394
Monitor,2072547,269931.63,Apr,South,243
Smartphone,585570,195355.21,Oct,West,30
Monitor,28432376,9118071.01,Jun,East,497
Monitor,4322090,862169.06,Sep,West,395
Printer,9427600,1878082.4,Feb,West,455
